Sample,Species,exp_16s,cov1_cm,cov2_tp
smp_2,Anaerostipes_rhamnosivorans,0,M,2
smp_2,Anaerotruncus_sp.,1.022,M,2
smp_2,Atopobium_vaginae,0,M,2
smp_2,bacterium_YE57,1.459,M,2
smp_2,Bacteroidaceae_bacterium,0,M,2
smp_2,Bacteroides_barnesiae,0,M,2
smp_2,Bacteroides_caecigallinarum,0,M,2
smp_2,Bacteroides_clarus,0,M,2
smp_2,Bacteroides_coprocola,0,M,2
smp_2,Bacteroides_coprophilus,0,M,2
smp_2,Bacteroides_eggerthii,0,M,2
smp_2,Bacteroides_finegoldii,0,M,2
smp_2,Bacteroides_massiliensis,0,M,2
smp_2,Bacteroides_sartorii,0,M,2
smp_2,Bacteroides_sp.,0,M,2
smp_2,Bacteroides_stercoris,0,M,2
smp_2,Bacteroides_vulgatus,0.491,M,2
smp_2,Barnesiella_viscericola,0,M,2
smp_2,Bifidobacterium_animalis,0,M,2
smp_2,Bifidobacterium_bifidum,0,M,2
smp_2,Bifidobacterium_pullorum,0,M,2
smp_2,Blautia_caecimuris,0.721,M,2
smp_2,Blautia_faecis,0.233,M,2
smp_2,Blautia_hydrogenotrophica,0,M,2
smp_2,Blautia_sp.,0,M,2
smp_2,Blautia_stercoris,0,M,2
smp_2,Brachyspira_aalborgi,0,M,2
smp_2,Burkholderia_sp.,0,M,2
smp_2,Butyricicoccus_pullicaecorum,0,M,2
smp_2,Butyrivibrio_crossotus,0,M,2
smp_2,Campylobacter_concisus,0,M,2
smp_2,Campylobacter_gracilis,0,M,2
smp_2,Campylobacter_hominis,0,M,2
smp_2,Campylobacter_ureolyticus,0,M,2
smp_2,Candidatus_Babela,0,M,2
smp_2,Candidatus_Fonsibacter,0,M,2
smp_2,Candidatus_Nanopelagicus,0,M,2
smp_2,Candidatus_Stoquefichus,0,M,2
smp_2,Catenibacillus_scindens,0,M,2
smp_2,Christensenella_minuta,0,M,2
smp_2,Chryseobacterium_chaponense,0,M,2
smp_2,Cladosporium_iridis,0,M,2
smp_2,Cloacibacillus_evryensis,0,M,2
smp_2,Clostridiaceae_bacterium,1.364,M,2
smp_2,Clostridiales_bacterium,0,M,2
smp_2,Clostridium_butyricum,0,M,2
smp_2,Clostridium_paraputrificum,0,M,2
smp_2,Clostridium_perfringens,0,M,2
smp_2,Clostridium_tertium,0,M,2
smp_2,Colletotrichum_nicotianae,0,M,2
smp_2,Collinsella_sp.,0,M,2
smp_2,Collinsella_stercoris,0,M,2
smp_2,Collinsella_tanakaei,0,M,2
smp_2,Coprobacter_secundus,0,M,2
smp_2,Coprococcus_eutactus,0,M,2
smp_2,Corynebacterium_argentoratense,0,M,2
smp_2,Corynebacterium_aurimucosum,0,M,2
smp_2,Corynebacterium_durum,0,M,2
smp_2,Daucus_carota,0,M,2
smp_2,Desulfovibrio_ferrireducens,0,M,2
smp_2,Desulfovibrio_piger,0,M,2
smp_2,Desulfovibrio_sp.,0,M,2
smp_2,Dielma_sp.,0,M,2
smp_2,Eggerthella_sinensis,0,M,2
smp_2,Empedobacter_brevis,0,M,2
smp_2,Eubacteriaceae_bacterium,0,M,2
smp_2,Eubacterium_limosum,0,M,2
smp_2,Eubacterium_ramulus,0,M,2
smp_2,Eubacterium_saphenum,0,M,2
smp_2,Eubacterium_sp.,0,M,2
smp_2,Extibacter_muris,0,M,2
smp_2,Ezakiella_peruensis,0,M,2
smp_2,Faecalicatena_fissicatena,0,M,2
smp_2,Faecalicoccus_pleomorphus,0,M,2
smp_2,Faecalitalea_cylindroides,0,M,2
smp_2,Filimonas_sp.,0,M,2
smp_2,Flavonifractor_plautii,0,M,2
smp_2,Fusobacterium_mortiferum,0,M,2
smp_2,Fusobacterium_necrophorum,0,M,2
smp_2,Gabonibacter_massiliensis,0,M,2
smp_2,Gluconobacter_cerinus,0,M,2
